 County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
Caroline,51033,0.146764107,0.00124041,0.00853311,0.006743223,0.018681112,0.106796215,0,0,0,0.004770037
Carroll,51035,0.126895704,0.001447918,0.024311104,0.009752491,0,0.079730954,0,0.001874459,0.004711797,0.005066982
Charles City,51036,0.019927407,0.000261167,0.005498532,0.002173903,0,0.009090314,0,0,0,0.002903491
Charlotte,51037,0.051703771,0.000590124,0.021448385,0.00395315,0,0.023333661,0,0,0,0.002378451
Chesterfield,51041,3.030746264,0.036183582,0.323826791,0.073192047,2.192459031,0.345961524,0,0.008202626,0.020618814,0.030301849
Clarke,51043,0.067321397,0.001057092,0.02009403,0.003982211,0,0.03898453,0,0,0,0.003203533
Craig,51045,0.008502027,0.00016436,0.000305365,0.001562437,0,0.005832272,0,0,0,0.000637593
Culpeper,51047,0.127076909,0.003421161,0.02269849,0.010055801,0.000166736,0.070650193,0,0.002907966,0.007309711,0.009866851
Cumberland,51049,0.019816741,0.000338795,0.001554807,0.002786547,0,0.011217339,0,0.000800315,0.002011742,0.001107196
Dickenson,51051,0.030572608,0.000860343,0.00615208,0.00484424,0,0.016768531,0,0,0,0.001947413
Dinwiddie,51053,0.132975387,0.005726233,0.027450948,0.007258761,2.01667E-05,0.067152203,0,0.005874499,0.014766636,0.00472594
Essex,51057,0.044710073,0.0016936,0.014174535,0.00318529,0,0.02213419,0,0,0,0.003522458
Fairfax,51059,2.181548055,0.174625352,0.264061582,0.258121893,0,1.3866261,0,0,0,0.098113128
Fauquier,51061,0.273801349,0.004986767,0.017894174,0.016019438,0.029938439,0.17309733,0,0.003733103,0.009383845,0.018748253
Floyd,51063,0.032086425,0.0006268,0.006130512,0.004271858,0,0.018793079,0,0,0,0.002264176
Fluvanna,51065,0.477223208,0.000932696,0.005097842,0.005952091,0.440401237,0.021333715,0,0,0,0.003505627
Franklin,51067,0.15566806,0.00281865,0.054677779,0.0141482,0.000272178,0.074390022,0,0,0,0.009361232
Frederick,51069,0.315597183,0.003838247,0.088378498,0.017450637,0.001585612,0.154327542,0,0.006665974,0.016756161,0.026594512
