Id,Id2,code,med_inc,ZIP
8600000US12443,12443,ZCTA5 12443,76897,12443
8600000US12444,12444,ZCTA5 12444,38229,12444
8600000US12446,12446,ZCTA5 12446,57373,12446
8600000US12448,12448,ZCTA5 12448,61648,12448
8600000US12449,12449,ZCTA5 12449,37951,12449
8600000US12450,12450,ZCTA5 12450,,12450
8600000US12451,12451,ZCTA5 12451,60974,12451
8600000US12452,12452,ZCTA5 12452,41538,12452
8600000US12453,12453,ZCTA5 12453,34434,12453
8600000US12454,12454,ZCTA5 12454,73750,12454
8600000US12455,12455,ZCTA5 12455,40439,12455
8600000US12456,12456,ZCTA5 12456,47656,12456
8600000US12457,12457,ZCTA5 12457,,12457
8600000US12458,12458,ZCTA5 12458,43393,12458
8600000US12459,12459,ZCTA5 12459,40195,12459
8600000US12460,12460,ZCTA5 12460,52014,12460
