BINs,Type,Score,S_EUI,BBL
1005320,Residence Hall/Dormitory,43,186.2,1004107501
1087955,Multifamily Housing,9,189.6,1004120053
1005602;1077628;1077629;1077637;1077638,Multifamily Housing,49,,1004160001
See Primary BBL,See Primary BBL,,,1004200062
See Primary BBL,See Primary BBL,,,1004210052
1005537,Multifamily Housing,14,183.9,1004170001
1-00417-7501,Hotel,37,218.4,1004177501
1087549,Multifamily Housing,,,1004200040
1087549,Office,35,257.4,1004207501
1087253,Multifamily Housing,66,202.2,1004257502
1005709,Other - Entertainment/Public Assembly,,503.7,1004260012
1005719,Retail Store,88,112.6,1004260029
1087241,Multifamily Housing,5,230.6,1004277504
1005743,Multifamily Housing,17,,1004290021
1005758,Multifamily Housing,56,132.3,1004300001
1077944;1077945;1077948;1077949;1077951;1077952;1077953;1077954;1077955;1077956;1077957;1077958;1077959,Multifamily Housing,27,,1004300010
1005759,Multifamily Housing,56,132.3,1004310001
1005761,Multifamily Housing,78,107.7,1004310025
1005762,Multifamily Housing,62,112.2,1004310031
1077557;1077558;1077559;1077560;1077561;1801901;1811664;1811665;1811666;1811667;1811668;1811669;1811670;1811671;1811672;1811673;1811674,Multifamily Housing,56,131.9,1004320001
1087654,Multifamily Housing,56,130.8,1004417503
1006080,Self-Storage Facility,,60,1004430005
1085556,Multifamily Housing,36,150.3,1004450014
1006221,Multifamily Housing,68,,1004467502
1085794,Multifamily Housing,32,120.8,1004517502
1006434,Multifamily Housing,23,159.9,1004520002
1006435,Multifamily Housing,,112.1,1004520006
1079353;1082513,Multifamily Housing,78,109,1004530011
1006510,Medical Office,1,603.8,1004550001
1006511,Hospital (General Medical & Surgical),13,609.1,1004550005
1006535,Multifamily Housing,72,140.9,1004550052
1087255,Multifamily Housing,1,277.7,1004560007
1088698,Multifamily Housing,,135.4,1004567501
1086133,Residence Hall/Dormitory,55,173.1,1004570009
1087698,Multifamily Housing,1,267.1,1004570028
1006545,Hotel,35,,1004580006
1006580,Multifamily Housing,87,100.7,1004600001
1006645,Multifamily Housing,92,71,1004627501
1006764,Residence Hall/Dormitory,,190.1,1004650001
1006826,Residence Hall/Dormitory,,221.8,1004670001
1006834,Multifamily Housing,74,131.7,1004670022
1006835,Multifamily Housing,,98.3,1004670025
1006836,Other,,168.5,1004670031
10006851,Multifamily Housing,,82,1004680001
1006906;1802135;1809152,Multifamily Housing,29,189.5,1004690030
1066718;1084261;1084262,Multifamily Housing,30,210.5,1004697502
1088500,Multifamily Housing,24,154.4,1004697505
1079877;1079878,Restaurant,,454.1,1004730001
1079887;1079888,Retail Store,,388.9,1004730010
1007030; 1084588,Multifamily Housing,,83,1004730051
1007013,Multifamily Housing,7,163,1004737501
1079134,Multifamily Housing,,177.8,1004737502
1007047,Multifamily Housing,32,128.9,1004740029
1007048,Office,79,137.1,1004740030
1087559,Multifamily Housing,5,,1004747506
1007118,Multifamily Housing,60,115.2,1004770001
1007119,Office,70,233.7,1004770011
1083493,Office,1,272690.2,1004777501
1007129,Multifamily Housing,,117.6,1004787501
1007193,Multifamily Housing,,136.6,1004810001
1007197,Multifamily Housing,1,231.6,1004817502
1007214,Office,80,189.5,1004820016
1066733,Office,30,286,1004827501
1007223,Enclosed Mall,,,1004827504
1079922,Retail Store,64,239.6,1004830007
1007235,Multifamily Housing,37,145,1004830013
1007238,Office,56,253.7,1004830017
1007234,Multifamily Housing,,222.7,1004837502
1083498,Multifamily Housing,,200.9,1004840001
1007252,Office,80,,1004840024
1007253,Multifamily Housing,,131.1,1004840026
1007251,Office,80,134.1,1004847502
1007286,Office,76,,1004860011
1007297,Multifamily Housing,,90.2,1004867503
1007308,Office,95,148.3,1004870008
1007309,Office,64,173.1,1004870010
1007310,Multifamily Housing,,,1004870012
1007312,Multifamily Housing,,76.9,1004870016
